alert_id,customer_id,alert_date,scenario,amount,risk_score,disposition,false_positive
ALT0001,C008,2024-10-22,STRUCTURING,43939,65,CLOSED_FALSE_POSITIVE,1
ALT0002,C019,2024-11-10,ROUND_DOLLAR,29343,57,CLOSED_FALSE_POSITIVE,1
ALT0003,C016,2024-10-23,HIGH_RISK_COUNTRY,16591,54,CLOSED_FALSE_POSITIVE,1
ALT0004,C012,2024-06-07,DORMANT_ACTIVITY,49050,1,CLOSED_FALSE_POSITIVE,1
ALT0005,C007,2024-11-18,HIGH_FREQ,29225,13,SAR_FILED,0
ALT0006,C012,2024-11-11,ROUND_DOLLAR,22110,67,NO_ACTION,0
ALT0007,C008,2024-10-26,LARGE_CASH,13298,16,ESCALATED_TO_ANALYST,0
ALT0008,C004,2024-08-09,DORMANT_ACTIVITY,14747,14,NO_ACTION,0
ALT0009,C020,2024-10-18,HIGH_RISK_COUNTRY,44899,75,ESCALATED_TO_ANALYST,0
ALT0010,C001,2024-07-28,STRUCTURING,35959,47,CLOSED_FALSE_POSITIVE,1
ALT0011,C019,2024-04-26,ROUND_DOLLAR,20352,82,CLOSED_FALSE_POSITIVE,1
ALT0012,C020,2024-11-27,LARGE_CASH,16371,23,ESCALATED_TO_ANALYST,0
ALT0013,C015,2024-11-12,ROUND_DOLLAR,15615,89,ESCALATED_TO_ANALYST,0
ALT0014,C001,2024-08-23,HIGH_RISK_COUNTRY,48708,9,ESCALATED_TO_ANALYST,0
ALT0015,C005,2024-09-10,LARGE_CASH,54052,91,ESCALATED_TO_ANALYST,0
ALT0016,C011,2024-03-03,DORMANT_ACTIVITY,26147,55,CLOSED_FALSE_POSITIVE,1
ALT0017,C005,2024-08-25,STRUCTURING,38050,25,NO_ACTION,0
ALT0018,C001,2024-06-15,HIGH_RISK_COUNTRY,29010,29,ESCALATED_TO_ANALYST,0
ALT0019,C011,2024-09-15,HIGH_FREQ,18920,13,SAR_FILED,0
ALT0020,C012,2024-12-27,HIGH_FREQ,21710,18,NO_ACTION,0
ALT0021,C020,2024-11-28,STRUCTURING,19110,14,CLOSED_FALSE_POSITIVE,1
ALT0022,C015,2024-03-12,HIGH_RISK_COUNTRY,39187,49,SAR_FILED,0
ALT0023,C017,2024-10-14,HIGH_FREQ,8792,33,SAR_FILED,0
ALT0024,C015,2024-09-14,ROUND_DOLLAR,52044,51,CLOSED_FALSE_POSITIVE,1
ALT0025,C015,2024-07-27,LARGE_CASH,38634,69,ESCALATED_TO_ANALYST,0
ALT0026,C003,2024-06-26,HIGH_RISK_COUNTRY,49155,71,NO_ACTION,0
ALT0027,C014,2024-11-02,STRUCTURING,18546,1,SAR_FILED,0
ALT0028,C002,2024-08-26,HIGH_FREQ,15259,25,NO_ACTION,0
ALT0029,C015,2024-05-08,STRUCTURING,28044,38,CLOSED_FALSE_POSITIVE,1
ALT0030,C015,2024-10-05,STRUCTURING,42315,48,SAR_FILED,0
ALT0031,C005,2024-05-22,DORMANT_ACTIVITY,51530,90,SAR_FILED,0
ALT0032,C003,2024-11-11,STRUCTURING,13608,64,NO_ACTION,0
ALT0033,C017,2024-09-06,STRUCTURING,18676,28,SAR_FILED,0
ALT0034,C018,2024-03-02,HIGH_RISK_COUNTRY,46958,42,NO_ACTION,0
ALT0035,C002,2024-05-28,LARGE_CASH,21912,61,CLOSED_FALSE_POSITIVE,1
ALT0036,C003,2024-08-03,ROUND_DOLLAR,21214,11,ESCALATED_TO_ANALYST,0
ALT0037,C006,2024-11-09,ROUND_DOLLAR,51775,76,CLOSED_FALSE_POSITIVE,1
ALT0038,C001,2024-06-15,STRUCTURING,28422,93,SAR_FILED,0
ALT0039,C010,2024-08-15,HIGH_FREQ,30219,28,SAR_FILED,0
ALT0040,C015,2024-01-19,HIGH_FREQ,36581,55,ESCALATED_TO_ANALYST,0
ALT0041,C003,2024-02-14,HIGH_FREQ,13276,73,ESCALATED_TO_ANALYST,0
ALT0042,C019,2024-04-28,STRUCTURING,14095,64,SAR_FILED,0
ALT0043,C011,2024-08-26,HIGH_RISK_COUNTRY,14395,39,NO_ACTION,0
ALT0044,C018,2024-12-13,HIGH_FREQ,16007,12,SAR_FILED,0
ALT0045,C014,2024-03-07,HIGH_FREQ,37360,39,ESCALATED_TO_ANALYST,0
ALT0046,C018,2024-09-22,ROUND_DOLLAR,49476,59,ESCALATED_TO_ANALYST,0
ALT0047,C013,2024-04-09,STRUCTURING,47362,82,CLOSED_FALSE_POSITIVE,1
ALT0048,C020,2024-12-13,STRUCTURING,18885,28,SAR_FILED,0
ALT0049,C016,2024-08-10,STRUCTURING,45990,87,NO_ACTION,0
