customer_id,customer_name,account_type,risk_rating,kyc_status,country,onboard_date,pep_flag
C001,Customer 1,SME,LOW,PENDING,UAE,2019-09-04,0
C002,Customer 2,SME,HIGH,PENDING,Singapore,2023-02-17,0
C003,Customer 3,INDIVIDUAL,LOW,PENDING,India,2021-10-27,0
C004,Customer 4,CORPORATE,LOW,VERIFIED,Singapore,2021-03-24,0
C005,Customer 5,INDIVIDUAL,HIGH,VERIFIED,Singapore,2019-02-09,0
C006,Customer 6,CORPORATE,HIGH,PENDING,USA,2022-02-16,0
C007,Customer 7,SME,HIGH,VERIFIED,Singapore,2022-02-02,1
C008,Customer 8,INDIVIDUAL,MEDIUM,EXPIRED,Singapore,2023-09-24,0
C009,Customer 9,CORPORATE,LOW,PENDING,UAE,2022-05-18,0
C010,Customer 10,INDIVIDUAL,MEDIUM,VERIFIED,Singapore,2018-08-13,0
C011,Customer 11,SME,HIGH,VERIFIED,USA,2019-07-03,0
C012,Customer 12,SME,MEDIUM,VERIFIED,India,2018-01-17,0
C013,Customer 13,CORPORATE,HIGH,EXPIRED,USA,2023-02-16,0
C014,Customer 14,INDIVIDUAL,HIGH,EXPIRED,USA,2020-12-12,0
C015,Customer 15,SME,LOW,VERIFIED,UAE,2023-01-04,0
C016,Customer 16,CORPORATE,MEDIUM,EXPIRED,USA,2023-08-04,0
C017,Customer 17,SME,HIGH,VERIFIED,UK,2022-01-14,0
C018,Customer 18,CORPORATE,LOW,EXPIRED,UAE,2019-05-01,0
C019,Customer 19,CORPORATE,MEDIUM,PENDING,India,2020-04-02,0
C020,Customer 20,INDIVIDUAL,HIGH,PENDING,India,2019-05-10,0
C021,Customer 21,CORPORATE,MEDIUM,EXPIRED,UK,2019-05-07,0
C022,Customer 22,CORPORATE,MEDIUM,VERIFIED,UAE,2022-10-17,0
C023,Customer 23,CORPORATE,HIGH,EXPIRED,Singapore,2019-08-24,0
C024,Customer 24,SME,MEDIUM,EXPIRED,USA,2019-12-27,0
C025,Customer 25,SME,LOW,VERIFIED,India,2019-04-25,0
C026,Customer 26,CORPORATE,LOW,VERIFIED,USA,2018-08-13,0
C027,Customer 27,CORPORATE,MEDIUM,EXPIRED,Singapore,2018-11-27,0
C028,Customer 28,CORPORATE,LOW,VERIFIED,UK,2022-03-26,0
C029,Customer 29,INDIVIDUAL,MEDIUM,PENDING,USA,2023-06-26,0
C030,Customer 30,CORPORATE,MEDIUM,EXPIRED,UAE,2018-03-17,0
C031,Customer 31,INDIVIDUAL,MEDIUM,VERIFIED,Singapore,2019-07-24,0
C032,Customer 32,SME,HIGH,PENDING,UK,2019-04-02,0
C033,Customer 33,INDIVIDUAL,LOW,VERIFIED,USA,2020-01-15,0
C034,Customer 34,INDIVIDUAL,HIGH,EXPIRED,India,2019-09-28,0
C035,Customer 35,INDIVIDUAL,MEDIUM,VERIFIED,Singapore,2018-08-25,0
C036,Customer 36,CORPORATE,MEDIUM,PENDING,Singapore,2018-02-26,0
C037,Customer 37,SME,LOW,VERIFIED,Singapore,2020-03-07,0
C038,Customer 38,CORPORATE,MEDIUM,EXPIRED,UAE,2019-12-21,0
C039,Customer 39,CORPORATE,MEDIUM,VERIFIED,UAE,2019-11-10,0
C040,Customer 40,CORPORATE,HIGH,EXPIRED,Singapore,2023-02-24,0
C041,Customer 41,SME,MEDIUM,VERIFIED,India,2019-09-07,0
C042,Customer 42,INDIVIDUAL,LOW,PENDING,UAE,2020-08-18,0
C043,Customer 43,SME,LOW,EXPIRED,UK,2020-02-11,0
C044,Customer 44,SME,HIGH,VERIFIED,Singapore,2020-07-20,0
C045,Customer 45,INDIVIDUAL,MEDIUM,VERIFIED,India,2023-11-26,0
C046,Customer 46,SME,HIGH,EXPIRED,India,2020-07-06,0
C047,Customer 47,SME,LOW,EXPIRED,UK,2020-01-23,0
C048,Customer 48,SME,LOW,EXPIRED,India,2019-02-12,0
C049,Customer 49,CORPORATE,MEDIUM,PENDING,India,2018-10-15,0
C050,Customer 50,INDIVIDUAL,MEDIUM,PENDING,UAE,2020-12-25,0
C051,Customer 51,CORPORATE,MEDIUM,PENDING,India,2020-11-08,0
C052,Customer 52,INDIVIDUAL,HIGH,EXPIRED,USA,2020-02-01,0
C053,Customer 53,INDIVIDUAL,HIGH,PENDING,UK,2020-08-07,0
C054,Customer 54,CORPORATE,HIGH,PENDING,UK,2020-07-26,0
C055,Customer 55,INDIVIDUAL,MEDIUM,EXPIRED,Singapore,2023-06-09,0
C056,Customer 56,SME,MEDIUM,VERIFIED,UAE,2021-04-25,0
C057,Customer 57,INDIVIDUAL,MEDIUM,EXPIRED,India,2022-09-22,0
C058,Customer 58,CORPORATE,HIGH,PENDING,India,2021-04-27,0
C059,Customer 59,SME,LOW,VERIFIED,UK,2022-04-09,0
C060,Customer 60,INDIVIDUAL,HIGH,VERIFIED,UK,2022-10-21,0
C061,Customer 61,SME,MEDIUM,PENDING,UK,2019-03-03,0
C062,Customer 62,SME,HIGH,EXPIRED,UAE,2018-10-23,1
C063,Customer 63,INDIVIDUAL,LOW,PENDING,UK,2021-05-15,0
C064,Customer 64,CORPORATE,HIGH,PENDING,Singapore,2020-01-28,0
C065,Customer 65,CORPORATE,MEDIUM,VERIFIED,USA,2019-03-22,0
C066,Customer 66,SME,LOW,EXPIRED,UK,2020-02-08,0
C067,Customer 67,CORPORATE,MEDIUM,EXPIRED,India,2018-10-06,0
C068,Customer 68,CORPORATE,MEDIUM,PENDING,India,2018-03-02,0
C069,Customer 69,SME,HIGH,PENDING,Singapore,2023-07-24,0
C070,Customer 70,SME,LOW,PENDING,UK,2022-06-12,0
C071,Customer 71,INDIVIDUAL,HIGH,EXPIRED,Singapore,2022-12-09,0
C072,Customer 72,CORPORATE,HIGH,PENDING,UAE,2022-04-25,0
C073,Customer 73,SME,MEDIUM,VERIFIED,UAE,2023-01-12,0
C074,Customer 74,SME,LOW,PENDING,India,2023-01-15,0
C075,Customer 75,SME,MEDIUM,PENDING,UAE,2018-10-19,0
C076,Customer 76,INDIVIDUAL,LOW,PENDING,UAE,2021-10-14,0
C077,Customer 77,SME,HIGH,EXPIRED,Singapore,2022-07-20,0
C078,Customer 78,CORPORATE,HIGH,PENDING,UAE,2021-11-18,0
C079,Customer 79,INDIVIDUAL,HIGH,EXPIRED,UAE,2020-02-23,0
C080,Customer 80,SME,MEDIUM,PENDING,UK,2018-08-05,0
C081,Customer 81,INDIVIDUAL,MEDIUM,VERIFIED,USA,2019-12-15,0
C082,Customer 82,SME,MEDIUM,PENDING,UAE,2020-01-01,0
C083,Customer 83,SME,LOW,PENDING,UAE,2018-11-07,1
C084,Customer 84,CORPORATE,MEDIUM,EXPIRED,UK,2020-04-04,0
C085,Customer 85,SME,LOW,PENDING,India,2022-03-04,0
C086,Customer 86,SME,LOW,VERIFIED,UAE,2018-11-24,0
C087,Customer 87,SME,HIGH,VERIFIED,UK,2018-02-28,0
C088,Customer 88,SME,HIGH,EXPIRED,India,2020-07-05,0
C089,Customer 89,SME,HIGH,PENDING,Singapore,2018-10-25,0
C090,Customer 90,INDIVIDUAL,LOW,VERIFIED,India,2019-12-03,0
C091,Customer 91,SME,MEDIUM,EXPIRED,USA,2018-03-13,0
C092,Customer 92,SME,LOW,VERIFIED,UAE,2022-03-26,0
C093,Customer 93,INDIVIDUAL,LOW,VERIFIED,India,2019-06-21,0
C094,Customer 94,SME,LOW,PENDING,UK,2018-05-03,0
C095,Customer 95,CORPORATE,MEDIUM,VERIFIED,Singapore,2018-09-19,0
C096,Customer 96,INDIVIDUAL,MEDIUM,EXPIRED,USA,2020-08-10,0
C097,Customer 97,SME,HIGH,PENDING,UAE,2022-08-21,0
C098,Customer 98,INDIVIDUAL,HIGH,VERIFIED,Singapore,2022-08-17,0
C099,Customer 99,CORPORATE,MEDIUM,VERIFIED,UAE,2020-12-14,0
C100,Customer 100,INDIVIDUAL,MEDIUM,PENDING,Singapore,2022-11-09,0
