customer_id,txn_id,txn_date,amount,transaction_type,country,channel,flagged
C018,TXN0001,2024-05-23,25634,CASH_DEPOSIT,UAE,ONLINE,1
C010,TXN0002,2024-07-21,29147,CASH_WITHDRAWAL,Australia,ONLINE,1
C008,TXN0003,2024-10-19,41440,WIRE_TRANSFER,Australia,MOBILE,1
C006,TXN0004,2024-06-03,5573,ONLINE_TRANSFER,UAE,BRANCH,0
C002,TXN0005,2024-02-16,42819,CASH_DEPOSIT,Germany,MOBILE,1
C014,TXN0006,2024-09-10,36155,WIRE_TRANSFER,China,MOBILE,1
C007,TXN0007,2024-09-18,5000,CHEQUE,China,ONLINE,0
C007,TXN0008,2024-01-03,17238,CASH_DEPOSIT,USA,BRANCH,1
C002,TXN0009,2024-06-16,41917,CHEQUE,Japan,MOBILE,1
C020,TXN0010,2024-08-05,5000,CASH_DEPOSIT,Russia,ONLINE,0
C016,TXN0011,2024-07-31,17846,CASH_WITHDRAWAL,Brazil,ATM,1
C004,TXN0012,2024-03-27,43353,CHEQUE,UK,ATM,1
C018,TXN0013,2024-04-13,35224,CHEQUE,Iran,ATM,1
C008,TXN0014,2024-08-14,9773,CASH_WITHDRAWAL,UK,MOBILE,0
C020,TXN0015,2024-02-06,50284,CHEQUE,Japan,MOBILE,1
C015,TXN0016,2024-03-01,8508,CASH_WITHDRAWAL,Canada,BRANCH,0
C009,TXN0017,2024-10-31,46381,WIRE_TRANSFER,UK,BRANCH,1
C010,TXN0018,2024-04-12,8725,ONLINE_TRANSFER,UK,ONLINE,0
C006,TXN0019,2024-11-08,17305,CASH_DEPOSIT,China,ONLINE,1
C002,TXN0020,2024-06-08,7613,CASH_DEPOSIT,Iran,ATM,1
C006,TXN0021,2024-07-03,46778,ONLINE_TRANSFER,Russia,ATM,1
C018,TXN0022,2024-05-04,13238,ONLINE_TRANSFER,China,MOBILE,1
C010,TXN0023,2024-08-21,50000,CASH_DEPOSIT,France,MOBILE,1
C017,TXN0024,2024-08-24,22740,WIRE_TRANSFER,China,ATM,1
C015,TXN0025,2024-03-01,29695,ONLINE_TRANSFER,Myanmar,MOBILE,1
C002,TXN0026,2024-03-31,29499,CASH_DEPOSIT,Singapore,ONLINE,1
C008,TXN0027,2024-02-09,10869,WIRE_TRANSFER,India,ATM,1
C017,TXN0028,2024-02-17,5389,ONLINE_TRANSFER,Canada,MOBILE,0
C013,TXN0029,2024-03-16,34125,ONLINE_TRANSFER,Japan,ONLINE,1
C003,TXN0030,2024-09-16,19131,ONLINE_TRANSFER,Russia,MOBILE,1
C005,TXN0031,2024-11-25,10000,CHEQUE,UK,MOBILE,0
C007,TXN0032,2024-01-21,18532,WIRE_TRANSFER,Myanmar,BRANCH,1
C003,TXN0033,2024-10-26,4253,WIRE_TRANSFER,Japan,BRANCH,0
C016,TXN0034,2024-01-18,25093,CASH_WITHDRAWAL,Russia,ONLINE,1
C006,TXN0035,2024-09-22,14874,CASH_WITHDRAWAL,Singapore,BRANCH,1
C006,TXN0036,2024-07-24,17472,CHEQUE,UAE,ATM,1
C016,TXN0037,2024-08-15,43572,ONLINE_TRANSFER,UAE,BRANCH,1
C012,TXN0038,2024-01-15,40227,WIRE_TRANSFER,USA,MOBILE,1
C016,TXN0039,2024-06-25,903,WIRE_TRANSFER,Canada,MOBILE,0
C010,TXN0040,2024-04-15,5000,ONLINE_TRANSFER,Germany,BRANCH,0
C013,TXN0041,2024-01-11,3391,CASH_WITHDRAWAL,India,ATM,0
C009,TXN0042,2024-06-08,8497,WIRE_TRANSFER,China,ATM,0
C010,TXN0043,2024-03-19,31796,CHEQUE,Japan,ONLINE,1
C004,TXN0044,2024-06-12,8324,CASH_WITHDRAWAL,UK,ATM,0
C014,TXN0045,2024-10-19,8880,ONLINE_TRANSFER,France,BRANCH,0
